Hit Count,Page No,Product URL,Product Name,Product Price,Rating,Number of Reviews
1,1,https://www.amazon.in//American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0,"52,349"
2,1,https://www.amazon.in//Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-4,Skybags Brat Black 46 Cms Casual Backpack,649,4.1,"3,791"
3,1,https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-5,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3,"9,839"
4,1,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-6,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9,573
5,1,https://www.amazon.in//Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-7,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,949,3.9,"6,332"
6,1,https://www.amazon.in//GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-8,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,214,3.7,"6,062"
7,1,https://www.amazon.in//SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-9,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,4.0,"18,033"
9,1,https://www.amazon.in//Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-13,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",689,3.9,"15,272"
10,1,https://www.amazon.in//Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-14,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",689,3.9,"3,139"
11,1,https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-15,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,473,4.3,"12,356"
12,1,https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1679491389&sprefix=ba%2Caps%2C283&sr=8-16,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1,"8,199"
